#{"t_start": 1776437778.5549152, "env_id": "None"}
r,l,t,reached,grasp_success
293.689802,6,327.398949,True,True
294.642926,6,328.053061,True,True
-152.542388,100,329.944002,False,False
126.033093,66,331.523481,True,True
295.051047,6,332.17216,True,True
298.291281,3,332.789282,True,True
297.04147,3,333.402007,True,True
-153.313624,100,335.269549,False,False
294.922004,7,335.937154,True,True
297.267016,3,336.542691,True,True
298.397582,2,337.153529,True,True
299.715051,2,337.78291,True,True
299.751579,3,338.414046,True,True
299.0,1,338.989029,True,True
299.0,1,339.550159,True,True
293.666343,6,340.220458,True,True
300.978587,2,340.817569,True,True
297.15557,3,341.439376,True,True
301.100921,2,342.016444,True,True
289.984131,10,342.734957,True,True
299.0,1,343.30777,True,True
301.155361,2,343.891659,True,True
299.0,1,344.451077,True,True
300.716552,2,345.043923,True,True
298.692957,4,345.663762,True,True
295.360617,7,346.329051,True,True
295.720872,5,346.9738,True,True
298.45243,3,347.597007,True,True
299.0,1,348.168351,True,True
299.0,1,348.740789,True,True
296.574155,6,349.389077,True,True
301.109916,2,349.975604,True,True
301.16854,2,350.569541,True,True
-145.363945,100,352.429284,False,False
293.360172,7,353.116106,True,True
296.393219,4,353.730652,True,True
298.438322,2,354.317195,True,True
299.0,1,354.878993,True,True
299.0,1,355.489794,True,True
297.668106,5,356.123227,True,True
297.269707,3,356.707387,True,True
297.506033,3,357.310652,True,True
293.782575,8,357.983423,True,True
295.010197,6,358.623194,True,True
291.514234,8,359.287901,True,True
-167.871973,100,361.199599,False,False
301.010408,2,361.781153,True,True
299.0,1,362.350031,True,True
-185.552786,100,364.252019,False,False
298.476906,2,364.818879,True,True
299.0,1,365.389801,True,True
299.0,1,365.979162,True,True
301.124079,2,366.562814,True,True
-183.055454,100,368.441919,False,False
-174.407746,100,370.323094,False,False
298.763257,2,370.896138,True,True
301.073408,2,371.487022,True,True
297.312786,3,372.09648,True,True
299.777266,3,372.706234,True,True
299.0,1,373.285688,True,True
299.0,1,373.892696,True,True
-162.67636,100,375.76501,False,False
299.541049,2,376.347321,True,True
298.483691,3,376.961873,True,True
297.257694,3,377.569719,True,True
-171.217059,100,379.445878,False,False
296.1906,4,380.065343,True,True
297.022944,4,380.700706,True,True
298.247437,4,381.333988,True,True
-157.655753,100,383.207539,False,False
299.811147,3,383.820038,True,True
-154.970224,100,385.64675,False,False
291.809915,8,386.311349,True,True
-160.394629,100,388.122981,False,False
298.619771,2,388.715713,True,True
236.28076,23,389.627468,True,True
-156.688419,100,391.518661,False,False
299.0,1,392.097174,True,True
-168.912727,100,394.000103,False,False
299.0,1,394.563497,True,True
301.046318,2,395.169587,True,True
298.853819,4,395.790081,True,True
299.0,1,396.359528,True,True
300.056104,3,396.971656,True,True
295.341105,5,397.630853,True,True
299.517938,2,398.230302,True,True
299.0,1,398.805204,True,True
-149.991974,100,400.710333,False,False
296.494739,6,401.37037,True,True
301.073185,2,401.953722,True,True
299.0,1,402.554864,True,True
297.486477,3,403.173287,True,True
298.409212,2,403.777476,True,True
299.0,1,404.365382,True,True
297.595243,3,404.972528,True,True
296.434535,4,405.581339,True,True
301.139467,2,406.164074,True,True
296.218767,4,406.781473,True,True
234.078671,28,407.7778,True,True
299.0,1,408.351877,True,True
300.04155,3,408.973289,True,True
