timesteps,reach_rate,grasp_rate,window_episodes
12100,90.0,90.0,30
12200,90.0,90.0,30
12300,86.66666666666667,86.66666666666667,30
12400,86.66666666666667,86.66666666666667,30
12500,83.33333333333334,83.33333333333334,30
12600,80.0,80.0,30
12700,76.66666666666667,76.66666666666667,30
12800,76.66666666666667,76.66666666666667,30
12900,83.33333333333334,83.33333333333334,30
13000,90.0,90.0,30
13100,86.66666666666667,86.66666666666667,30
13200,90.0,90.0,30
13300,86.66666666666667,86.66666666666667,30
13400,86.66666666666667,86.66666666666667,30
13500,83.33333333333334,83.33333333333334,30
13600,80.0,80.0,30
13700,80.0,80.0,30
13800,76.66666666666667,76.66666666666667,30
13900,76.66666666666667,76.66666666666667,30
14000,76.66666666666667,76.66666666666667,30
14100,73.33333333333333,73.33333333333333,30
14200,73.33333333333333,73.33333333333333,30
14300,86.66666666666667,86.66666666666667,30
14400,86.66666666666667,86.66666666666667,30
14500,83.33333333333334,83.33333333333334,30
14600,83.33333333333334,83.33333333333334,30
14700,83.33333333333334,83.33333333333334,30
14800,86.66666666666667,86.66666666666667,30
14900,83.33333333333334,83.33333333333334,30
15000,83.33333333333334,83.33333333333334,30
15100,86.66666666666667,86.66666666666667,30
15200,83.33333333333334,83.33333333333334,30
15300,90.0,90.0,30
15400,86.66666666666667,86.66666666666667,30
15500,86.66666666666667,86.66666666666667,30
15600,83.33333333333334,83.33333333333334,30
15700,83.33333333333334,83.33333333333334,30
15800,83.33333333333334,83.33333333333334,30
15900,80.0,80.0,30
16000,76.66666666666667,76.66666666666667,30
16100,73.33333333333333,73.33333333333333,30
16200,86.66666666666667,86.66666666666667,30
16300,86.66666666666667,86.66666666666667,30
16400,93.33333333333333,93.33333333333333,30
16500,90.0,90.0,30
16600,90.0,90.0,30
16700,86.66666666666667,86.66666666666667,30
16800,83.33333333333334,83.33333333333334,30
16900,80.0,80.0,30
17000,80.0,80.0,30
17100,80.0,80.0,30
17200,76.66666666666667,76.66666666666667,30
17300,76.66666666666667,76.66666666666667,30
17400,76.66666666666667,76.66666666666667,30
17500,76.66666666666667,76.66666666666667,30
17600,83.33333333333334,83.33333333333334,30
17700,86.66666666666667,86.66666666666667,30
17800,83.33333333333334,83.33333333333334,30
17900,80.0,80.0,30
18000,90.0,90.0,30
18100,90.0,90.0,30
18200,100.0,100.0,30
18300,100.0,100.0,30
18400,100.0,100.0,30
18500,100.0,96.66666666666667,30
18600,100.0,96.66666666666667,30
18700,100.0,96.66666666666667,30
18800,100.0,96.66666666666667,30
18900,96.66666666666667,93.33333333333333,30
19000,96.66666666666667,93.33333333333333,30
19100,96.66666666666667,96.66666666666667,30
19200,100.0,100.0,30
19300,96.66666666666667,96.66666666666667,30
19400,93.33333333333333,93.33333333333333,30
19500,90.0,90.0,30
19600,86.66666666666667,86.66666666666667,30
19700,86.66666666666667,86.66666666666667,30
19800,83.33333333333334,83.33333333333334,30
19900,80.0,80.0,30
20000,100.0,100.0,30
