#{"t_start": 1776437133.498475, "env_id": "None"}
r,l,t,reached,grasp_success
299.0,1,386.58527,True,True
292.456573,4,387.192236,True,True
301.135871,2,387.786276,True,True
299.0,1,388.359037,True,True
292.436148,4,388.932581,True,True
300.921813,2,389.521984,True,True
299.0,1,390.106209,True,True
-179.788084,100,391.601603,False,False
299.0,1,392.15611,True,True
-178.59795,100,393.61649,False,False
299.0,1,394.190164,True,True
292.529804,4,394.783011,True,True
299.312781,2,395.366336,True,True
299.348748,2,395.92512,True,True
-179.774647,100,397.40779,False,False
-179.661349,100,398.887873,False,False
301.083138,2,399.474236,True,True
299.496783,2,400.057325,True,True
297.371324,4,400.676302,True,True
299.466597,2,401.261339,True,True
292.373269,4,401.857723,True,True
301.102256,2,402.451534,True,True
295.596972,2,403.036015,True,True
-184.530379,100,404.538283,False,False
299.0,1,405.099833,True,True
299.0,1,405.670763,True,True
-193.054183,100,407.153602,False,False
297.235177,3,407.741816,True,True
299.980669,3,408.347914,True,True
-191.864109,100,409.852921,False,False
-190.111864,100,411.335105,False,False
298.314175,3,411.91346,True,True
286.852267,8,412.554715,True,True
296.996438,4,413.149429,True,True
301.175886,2,413.741343,True,True
299.0,1,414.316327,True,True
299.0,1,414.88275,True,True
301.179392,2,415.475774,True,True
292.459747,4,416.078585,True,True
291.468768,9,416.743551,True,True
289.686386,6,417.362614,True,True
299.0,1,417.943428,True,True
289.647694,6,418.55634,True,True
299.0,1,419.124411,True,True
300.043613,3,419.730244,True,True
289.648638,6,420.361479,True,True
299.0,1,420.943906,True,True
299.0,1,421.501977,True,True
294.870701,5,422.103596,True,True
-171.00589,100,423.595045,False,False
298.404279,2,424.142124,True,True
292.693589,4,424.703213,True,True
296.258431,2,425.281854,True,True
299.0,1,425.855054,True,True
289.941849,6,426.472414,True,True
-184.495318,100,427.990122,False,False
299.0,1,428.564653,True,True
299.0,1,429.156985,True,True
299.0,1,429.748484,True,True
296.29781,2,430.322159,True,True
299.0,1,430.902729,True,True
293.038368,9,431.617509,True,True
299.0,1,432.195358,True,True
292.483763,4,432.806936,True,True
292.573367,4,433.419849,True,True
301.171702,2,434.026324,True,True
299.0,1,434.623231,True,True
-268.601814,100,436.159078,False,False
301.128911,2,436.746244,True,True
-271.986461,100,438.252976,False,False
292.448526,4,438.844265,True,True
-265.661826,100,440.338275,False,False
299.0,1,440.905285,True,True
301.086227,2,441.498362,True,True
-257.371359,100,442.970826,False,False
-242.741458,100,444.461469,False,False
299.0,1,445.056428,True,True
299.0,1,445.64677,True,True
301.076856,2,446.246201,True,True
299.0,1,446.821527,True,True
299.0,1,447.421322,True,True
301.068767,2,448.021827,True,True
-235.290824,100,449.526835,False,False
301.143612,2,450.100602,True,True
301.11839,2,450.81988,True,True
300.93547,2,451.42151,True,True
300.954534,2,452.016984,True,True
-220.753374,100,453.510779,False,False
292.584033,4,454.091172,True,True
300.95719,2,454.673822,True,True
297.264517,3,455.273009,True,True
299.0,1,455.843805,True,True
292.565107,4,456.431935,True,True
301.041105,2,457.024945,True,True
299.0,1,457.595646,True,True
299.0,1,458.159779,True,True
-217.494618,100,459.668033,False,False
301.014893,2,460.258521,True,True
299.0,1,460.838837,True,True
-218.980952,100,462.36759,False,False
-215.127735,100,463.851792,False,False
301.17769,2,464.434413,True,True
218.74335,68,465.799832,True,True
297.345258,3,466.385483,True,True
299.0,1,467.078317,True,True
299.990805,3,467.693099,True,True
297.40302,3,468.27973,True,True
-215.584269,100,469.778431,False,False
299.0,1,470.362782,True,True
299.0,1,470.937604,True,True
296.129249,2,471.511121,True,True
292.522425,4,472.108187,True,True
252.040346,42,473.141751,True,True
299.0,1,473.705666,True,True
298.362079,2,474.273449,True,True
292.537191,4,474.87295,True,True
298.3977,2,475.45205,True,True
301.091246,2,476.038295,True,True
299.0,1,476.601902,True,True
-222.893585,100,478.095586,False,False
299.0,1,478.664403,True,True
301.160137,2,479.257004,True,True
-220.727337,100,480.750239,False,False
156.282999,67,482.111518,True,True
298.197366,2,482.693151,True,True
298.095271,2,483.273993,True,True
292.353488,4,483.880215,True,True
298.39329,3,484.473333,True,True
293.691777,6,485.085519,True,True
299.0,1,485.66424,True,True
299.0,1,486.236687,True,True
-18.893324,100,487.726735,False,False
299.0,1,488.291334,True,True
299.0,1,488.864466,True,True
296.228045,2,489.459724,True,True
292.688094,4,490.042743,True,True
299.0,1,490.611123,True,True
297.650324,3,491.212832,True,True
301.203012,2,491.802805,True,True
284.493444,15,492.538351,True,True
301.116432,2,493.115949,True,True
298.42305,2,493.691329,True,True
285.335488,14,494.438718,True,True
299.0,1,495.033626,True,True
298.862648,2,495.593902,True,True
299.0,1,496.15153,True,True
301.144902,2,496.726979,True,True
298.774731,2,497.278842,True,True
299.200023,2,497.846933,True,True
292.719535,4,498.446843,True,True
285.390517,14,499.164974,True,True
292.703561,4,499.765823,True,True
299.0,1,500.327425,True,True
292.63373,4,500.933001,True,True
292.077996,8,501.596704,True,True
297.581752,3,502.197631,True,True
292.727862,4,502.790339,True,True
299.0,1,503.356102,True,True
292.738811,4,503.953455,True,True
298.37966,2,504.547612,True,True
299.0,1,505.121304,True,True
301.146861,2,505.70811,True,True
299.0,1,506.420518,True,True
292.737168,4,507.035641,True,True
292.619138,4,507.614589,True,True
299.099887,2,508.17395,True,True
301.120831,2,508.76807,True,True
299.0,1,509.333649,True,True
299.0,1,509.908072,True,True
286.094297,13,510.645177,True,True
296.436392,4,511.247179,True,True
299.0,1,511.841291,True,True
299.0,1,512.408168,True,True
298.375672,2,512.998554,True,True
298.36804,2,513.579665,True,True
299.0,1,514.162303,True,True
292.71763,4,514.770936,True,True
275.230972,22,515.618148,True,True
292.597657,4,516.207111,True,True
299.0,1,516.77615,True,True
292.670468,4,517.362227,True,True
301.141077,2,517.957811,True,True
296.109014,2,518.55,True,True
196.702526,88,520.176543,True,True
205.059147,81,521.698609,True,True
298.273226,2,522.283722,True,True
299.0,1,522.848815,True,True
298.280789,2,523.421056,True,True
298.309967,2,523.99733,True,True
299.0,1,524.56502,True,True
299.0,1,525.123349,True,True
299.0,1,525.687289,True,True
298.347752,2,526.264053,True,True
299.0,1,526.847599,True,True
301.17071,2,527.43981,True,True
298.86431,2,528.019284,True,True
298.374401,2,528.601,True,True
299.0,1,529.182957,True,True
286.379624,13,529.887984,True,True
301.215797,2,530.474973,True,True
299.0,1,531.061229,True,True
298.273717,2,531.658684,True,True
298.699338,2,532.236096,True,True
299.0,1,532.841895,True,True
301.14585,2,533.425182,True,True
298.351593,2,534.014793,True,True
298.366861,2,534.609239,True,True
298.904764,2,535.179808,True,True
299.0,1,535.773896,True,True
298.35371,2,536.343316,True,True
299.0,1,536.917267,True,True
298.274362,2,537.499767,True,True
298.84487,2,538.079483,True,True
299.0,1,538.658447,True,True
136.383788,4,539.561002,True,False
298.778693,2,540.128863,True,True
296.337612,4,540.734786,True,True
299.0,1,541.308081,True,True
301.175382,2,541.899068,True,True
296.436411,4,542.491459,True,True
298.938761,2,543.07045,True,True
299.0,1,543.636239,True,True
262.384599,34,544.604286,True,True
298.606524,2,545.179337,True,True
298.651855,2,545.764654,True,True
289.963025,6,546.402349,True,True
298.45433,2,546.990134,True,True
293.021241,7,547.627976,True,True
299.0,1,548.198407,True,True
298.828177,2,548.788293,True,True
301.214554,2,549.378855,True,True
301.178036,2,549.971682,True,True
301.074867,2,550.550346,True,True
296.012215,2,551.123816,True,True
285.768987,14,551.839149,True,True
299.0,1,552.420425,True,True
301.117946,2,553.028953,True,True
296.413059,4,553.634686,True,True
299.0,1,554.213404,True,True
296.420581,4,554.812302,True,True
298.713872,2,555.398618,True,True
298.432729,2,555.993435,True,True
296.221943,4,556.59461,True,True
297.322322,3,557.191395,True,True
298.810127,2,557.772336,True,True
298.466865,2,558.37132,True,True
301.066882,2,558.952825,True,True
158.045738,3,559.526675,True,False
301.052779,2,560.106893,True,True
298.110494,3,560.696163,True,True
297.214346,3,561.297106,True,True
296.338731,4,561.896398,True,True
301.201956,2,562.484706,True,True
298.901692,2,563.064493,True,True
298.92157,2,563.64534,True,True
296.421463,4,564.259722,True,True
301.197133,2,564.850146,True,True
298.929207,2,565.423034,True,True
301.199434,2,566.013554,True,True
295.143231,5,566.615403,True,True
292.641404,4,567.196371,True,True
301.162196,2,567.785452,True,True
292.719189,4,568.375683,True,True
299.0,1,568.943922,True,True
301.226835,2,569.53715,True,True
234.46235,60,570.82761,True,True
283.944704,17,571.595749,True,True
-11.969563,100,573.05652,False,False
229.26936,64,574.39665,True,True
301.163414,2,574.982507,True,True
299.0,1,575.554474,True,True
298.71006,2,576.146684,True,True
195.157199,94,577.869074,True,True
295.76843,2,578.453776,True,True
297.839546,3,579.043747,True,True
297.708169,5,579.804501,True,True
301.18845,2,580.408385,True,True
299.0,1,580.980969,True,True
301.144665,2,581.634441,True,True
290.927323,11,582.333903,True,True
299.201959,2,582.892003,True,True
281.290426,18,583.661977,True,True
292.650715,4,584.245512,True,True
295.783377,2,584.825238,True,True
293.381076,7,585.472097,True,True
292.613904,4,586.08971,True,True
296.061813,5,586.702274,True,True
299.0,1,587.26737,True,True
301.038074,2,587.856084,True,True
251.074532,44,588.94999,True,True
295.797854,5,589.57908,True,True
292.643919,4,590.162204,True,True
280.991995,18,590.930398,True,True
292.633811,4,591.523736,True,True
292.655057,4,592.113737,True,True
299.0,1,592.682587,True,True
289.916275,6,593.298548,True,True
292.634974,4,593.894916,True,True
299.461893,2,594.518062,True,True
-12.669768,100,596.025091,False,False
299.389792,2,596.591398,True,True
-15.213091,100,598.056464,False,False
-21.3702,100,599.536585,False,False
-25.16623,100,601.02677,False,False
299.0,1,601.594305,True,True
295.718298,2,602.179844,True,True
301.055404,2,602.778182,True,True
301.084804,2,603.374482,True,True
259.614844,37,604.378128,True,True
301.020274,2,604.966422,True,True
301.051955,2,605.56198,True,True
-21.863527,100,607.036703,False,False
299.0,1,607.602299,True,True
299.0,1,608.172945,True,True
299.0,1,608.7493,True,True
295.681772,2,609.321594,True,True
-13.370238,100,610.836902,False,False
204.10997,86,612.463199,True,True
295.631853,2,613.056216,True,True
295.632869,2,613.643045,True,True
295.619897,2,614.210295,True,True
301.04514,2,614.803152,True,True
297.272694,4,615.385651,True,True
292.572783,4,615.955844,True,True
299.358708,2,616.513126,True,True
299.376995,2,617.079369,True,True
299.0,1,617.704673,True,True
299.0,1,618.27763,True,True
301.047122,2,618.87147,True,True
299.315207,2,619.440407,True,True
298.331629,3,619.995256,True,True
299.165285,2,620.572189,True,True
299.0,1,621.149932,True,True
301.050061,2,621.745579,True,True
270.221926,29,622.656975,True,True
301.007695,2,623.255421,True,True
299.053004,2,623.837645,True,True
299.083344,2,624.424941,True,True
295.598498,2,624.991902,True,True
299.0,1,625.554708,True,True
301.057403,2,626.256541,True,True
299.339794,2,626.857331,True,True
299.281324,2,627.432014,True,True
295.621312,2,627.999261,True,True
301.046497,2,628.588692,True,True
299.282269,2,629.162009,True,True
299.254028,2,629.764032,True,True
300.990107,2,630.348519,True,True
